word,counts,remove
fyh,84,
juste,84,
ni,84,
qwat,84,
reuters,84,
solidarité,84,
indonesia,83,
netfreedom,83,
nouveau,83,
radio,83,
tjm3,83,
tn,83,1
attention,82,
autre,82,
brian_whit,82,1
mal,82,
meme,82,
mwajhat,82,
nouvelles,82,
rassemblement,82,
tt,82,1
cairo,81,
capital,81,
confirme,81,
enfin,81,
expressfm,81,
gov,81,
p2,81,1
plane,81,
streets,81,
albtal0,80,
journal,80,
mzahr0,80,
personne,80,
émeutes,80,
action,79,
alrsas,79,
call,79,
cas,79,
d'une,79,
font,79,
janfy,79,
lien,79,
reporting,79,
train,79,
wbab,79,
web,79,
zin,79,
actv,78,
akr,78,
alkoga,78,
arabic,78,
blogueur,78,
excellent,78,
international,78,
left,78,
lh,78,1
minister,78,
tm,78,
troubles,78,
vers,78,
yqwl,78,
ay,77,
krahnek,77,
mafia,77,
marsa,77,
personnes,77,
population,77,
students,77,
vie,77,
18h,76,
al3am,76,
al3rby,76,
centre,76,
front,76,
mouvement,76,
mzahrat,76,
politique,76,
r5ys,76,
tcot,76,
activists,75,
albw3zyzy,75,
alslt0,75,
merde,75,
national,75,
security,75,
tirs,75,
toute,75,
7y,74,
antfad0,74,
breaking,74,
kbr,74,
lw,74,
nuit,74,
auteur,73,
bwzyan,73,
compte,73,
hospital,73,
ibnkafka,73,
iran,73,
aldakly0,72,
aly,72,
arad,72,
bizerte,72,
bylasko,72,
confirmer,72,
dictatorship,72,
ds,72,
ff,72,
affrontements,71,
ahaly,71,
ammar404,71,
couvre,71,
frnsa,71,
gafsa,71,
ln,71,
night,71,
ooouups,71,
premier,71,
quelques,71,
toutes,71,
al7y,70,
ala7dau,70,
almtzahryn,70,
alsa30,70,
elections,70,
family,70,
freetunisia,70,
guardian,70,
images,70,
martyrs,70,
sarkozy,70,
wab,70,
compris,69,
justice,69,
middle,69,
nfsh,69,
rights,69,
thf,69,
wa7d,69,
east,68,
fail,68,
grand,68,
local,68,
passer,68,
abidine,67,
akur,67,
alnas,67,
hnak,67,
presse,67,
question,67,
répression,67,
suivre,67,
swr0,67,
wqf0,67,
chose,66,
city,66,
con,66,
demo,66,
malekk,66,
oid,66,
word,66,
ywma,66,
alwbab,65,
binali,65,
donc,65,
fuck,65,
halmustafa,65,
lotfi,65,
revolt,65,
youth,65,
20h,64,
a7d,64,
coups,64,
d'être,64,
foule,64,
hisham_g,64,
node,64,
pages,64,
pendant,64,
ppl,64,
ramyraoof,64,
suite,64,
times,64,
tirer,64,
7r0,63,
ami,63,
anonnewsnet,63,
ayn,63,
days,63,
droit,63,
intox,63,
jd0,63,
maghreb,63,
mot,63,
putain,63,
rafik,63,
story,63,
takriz,63,
alnar,62,
aluwr0,62,
amis,62,
autres,62,
azyz,62,
besoin,62,
confirm,62,
confirmed,62,
dictateur,62,
hendsabry,62,
honte,62,
l'info,62,
leila,62,
lundi,62,
mieux,62,
partout,62,
propos,62,
tal0,62,
télé,62,
vive,62,
watching,62,
wlay0,62,
wzyr,62,
3bd,61,
alakbar,61,
algnwwy,61,
alwab,61,
annonce,61,
lycée,61,
minutes,61,
parti,61,
party,61,
read,61,
real,61,
stand,61,
ta5r0,61,
veux,61,
ajl,60,
ant,60,
bw,60,
marzouki,60,
mubarak,60,
regarder,60,
seule,60,
tire,60,
tomorrow,60,
top,60,
violences,60,
bas,59,
died,59,
déjà,59,
jdyd0,59,
jeudi,59,
klaxop,59,
msadr,59,
protestors,59,
repression,59,
3am,58,
al3ml,58,
al7akm,58,
alexexplosion,58,
commence,58,
friends,58,
journaliste,58,
llwgl,58,
nouvelle,58,
political,58,
ras,58,
sans_titre404,58,
shame,58,
sws0,58,
updates,58,
yesterday,58,
akra,57,
anha,57,
changer,57,
citj,57,
démocratie,57,
kant,57,
n'y,57,
nabeul,57,
prison,57,
sakhr,57,
twitvid.com,57,
7al0,56,
chômage,56,
habib,56,
history,56,
hm,56,
humanrights,56,
klal,56,
marche,56,
mnzl,56,
reste,56,
seait,56,
sortir,56,
tl.gd,56,
unemployment,56,
violent,56,
23tunisia,55,
aljmhwry0,55,
ama,55,
calls,55,
communication,55,
die,55,
ghannouchi,55,
govt,55,
happy,55,
plusieurs,55,
press,55,
